episode,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration
1,,-0.4047010730710271,100,90,802,470,0,2642,79.69
2,,-0.41285119667013526,100,88,783,735,0,2326,61.48
3,,-0.39550395256917,100,98,825,601,0,2622,68.52
4,0.27361977100372314,-0.37415158371040724,105,87,722,538,0,2276,68.6
5,,-0.40178163544997714,100,92,933,722,0,2723,71.52
6,,-0.37739634418189927,101,89,919,814,0,2753,66.81
7,,-0.37665562913907286,100,86,761,539,0,2324,102.62
8,0.25929686427116394,-0.40865603644646925,100,93,946,693,0,2751,68.52
9,,-0.42560034305317324,100,95,991,449,0,3224,80.52
10,,-0.3873729266987694,100,92,830,429,0,2479,68.23
11,,-0.41595887349128297,102,98,970,484,0,3020,73.72
12,0.265937477350235,-0.37493143170597915,100,86,798,737,0,2111,70.84
13,,-0.4034090909090909,105,94,755,420,0,2521,73.84
14,,-0.40164684354986274,103,94,925,738,0,2709,70.28
15,,-0.3932291666666667,101,90,964,531,0,2729,76.04
16,0.26255205273628235,-0.4256399837464445,100,96,1017,602,0,3303,81.74
17,,-0.40404040404040403,101,96,771,404,0,2389,67.41
18,,-0.4077889447236181,103,90,822,526,0,2632,78.82
19,,-0.3874391862007961,102,97,922,776,0,2824,73.24
20,0.27075517177581787,-0.40208230044620724,100,92,830,601,0,2603,66.63
21,,-0.4074074074074074,101,95,809,683,0,2396,72.05
22,,-0.3973320628870891,100,89,881,482,0,2835,68.15
23,,-0.4061872237846525,101,85,1011,617,0,3350,96.21
24,0.26932287216186523,-0.4053919121318023,101,87,798,559,0,2649,69.69
25,,-0.39694989106753814,100,90,919,723,0,2948,76.12
26,,-0.410262891809909,103,92,800,521,0,2635,67.29
27,,-0.3785112359550562,100,88,904,528,0,2840,74.89
28,0.25369787216186523,-0.42216117216117216,100,85,992,384,0,2992,75.02
29,,-0.38975817923186346,110,96,910,664,0,2644,85.91
30,,-0.4157918758557736,101,98,922,397,0,3063,73.51
31,,-0.3981123981123981,103,96,936,573,0,3153,78.12
32,0.27101558446884155,-0.38278210116731515,100,90,842,662,0,2608,68.57
33,,-0.42400881057268724,101,97,909,586,0,3045,75.28
34,,-0.4181146828844483,100,99,1043,581,0,2980,85.07
35,,-0.40130689499774674,100,89,945,420,0,3073,78.02
36,0.2724478840827942,-0.38699261992619927,104,88,917,679,0,2740,71.95
37,,-0.4123463388562266,101,83,785,419,0,2538,71.6
38,,-0.39221846302561625,100,88,847,551,0,2740,76.37
39,,-0.4329416531604538,102,99,1088,477,0,3371,95.2
40,0.2513541579246521,-0.4118451025056948,100,83,896,660,0,2834,69.43
41,,-0.3917124542124542,100,92,918,841,0,2609,73.52
42,,-0.3802083333333333,100,87,761,711,0,2176,65.84
43,,-0.3914319248826291,104,94,734,684,0,1990,64.86
44,0.249010369181633,-0.4328968903436989,103,87,1030,638,0,3220,80.88
45,,-0.41845180136319376,101,100,825,484,0,2799,82.99
46,,-0.39190453907346745,102,89,929,566,0,2779,73.11
47,,-0.4009784735812133,100,83,1038,807,0,3265,78.51
48,0.2630729079246521,-0.39815557337610263,101,94,994,724,0,3270,77.54
49,,-0.4061866125760649,100,90,819,685,0,2440,75.31
50,,-0.39596655189375307,102,90,898,597,0,2571,77.48
51,,-0.38215746421267893,103,82,780,640,0,2492,73.16
52,0.25799477100372314,-0.3917652859960552,100,89,762,720,0,2574,73.14
53,,-0.40609007164790173,102,87,877,727,0,2304,70.84
54,,-0.40212854757929883,100,90,1075,574,0,3143,78.85
55,,-0.4121160409556314,100,89,946,727,0,3015,95.52
56,0.24705727398395538,-0.41681146828844484,103,96,1000,574,0,3030,75.43
57,,-0.39870689655172414,101,84,923,468,0,2785,80.27
58,,-0.42438037430450176,101,85,882,378,0,2694,69.11
59,,-0.4237358963643962,102,91,961,856,0,2969,77.05
60,0.27908849716186523,-0.4060814124570868,102,95,864,562,0,2652,88.43
61,,-0.39774363898223714,100,89,903,537,0,2726,73.01
62,,-0.3980263157894737,100,83,819,737,0,2396,66.98
63,,-0.4123755949805279,101,91,969,570,0,3083,79.48
64,0.25473955273628235,-0.40435501653803746,100,93,776,497,0,2355,65.32
65,,-0.3863298662704309,101,98,848,464,0,2726,83.84
66,,-0.40893970893970893,101,103,951,642,0,3217,85.14
67,,-0.40225563909774437,100,95,971,545,0,3006,78.29
68,0.2686718702316284,-0.3888888888888889,102,87,740,425,0,2417,67.06
69,,-0.4043001686340641,103,87,1007,615,0,3122,80.16
70,,-0.4128619153674833,100,97,790,478,0,2324,69.81
71,,-0.41566820276497696,102,97,886,762,0,2692,81.39
72,0.26932287216186523,-0.40951908775409024,100,92,825,615,0,2594,65.71
73,,-0.3959402706486234,101,94,913,634,0,2739,77.4
74,,-0.4212875939849624,100,100,896,410,0,2950,75.74
75,,-0.398041185334003,104,91,869,643,0,2470,72.0
76,0.25994789600372314,-0.4023799030409872,100,91,935,647,0,2956,88.51
77,,-0.4062339000515198,102,90,866,466,0,2550,73.1
78,,-0.40408525754884544,100,97,931,814,0,2759,73.32
79,,-0.4236747708250299,101,86,1060,879,0,3079,81.3
80,0.2680208086967468,-0.3790951638065523,102,90,810,643,0,2393,68.54
81,,-0.4181654676258993,100,98,1141,645,0,3774,106.44
82,,-0.39907889467360835,100,90,980,946,0,3068,80.4
83,,-0.412944582299421,100,95,1020,669,0,3147,82.8
84,0.2628124952316284,-0.4196344892221181,100,97,879,581,0,2808,72.98
85,,-0.41892512632062473,100,90,960,466,0,2928,78.01
86,,-0.4065979381443299,106,99,1027,630,0,3193,87.39
87,,-0.41444600280504906,101,95,880,605,0,2793,78.43
88,0.2721874713897705,-0.4262295081967213,100,98,924,583,0,2885,76.23
89,,-0.411541701769166,102,100,982,653,0,3113,81.76
90,,-0.3988467083133109,100,88,843,752,0,2567,70.31
91,,-0.40150048402710553,100,94,928,335,0,2869,87.15
92,0.2628124952316284,-0.40495474035254886,100,93,933,551,0,2714,75.63
93,,-0.4092673459485687,102,95,778,700,0,2644,73.14
94,,-0.3953717380600689,102,94,882,449,0,2731,71.18
95,,-0.4029992406985573,100,92,1073,710,0,3485,88.93
96,0.2745312452316284,-0.41866478608368596,103,96,926,414,0,2914,90.29
97,,-0.3851273148148148,100,82,705,653,0,2098,69.04
98,,-0.4028138528138528,100,95,961,607,0,3052,77.65
99,,-0.3986206896551724,100,99,929,632,0,2789,75.12
100,0.26776039600372314,-0.40894039735099336,101,93,1084,1026,0,3326,82.33
101,,-0.40342003853564545,100,90,865,746,0,2541,86.68
102,,-0.4089422028353326,101,88,717,731,0,2220,74.74
103,,-0.4028268551236749,100,88,842,512,0,2608,73.03
104,0.2646353840827942,-0.40161725067385445,102,97,898,854,0,2700,76.19
105,,-0.40412319920516643,101,89,820,552,0,2654,72.29
106,,-0.39374124241008873,102,97,865,640,0,2777,78.66
107,,-0.4184,100,89,818,459,0,2473,78.15
108,0.2721874713897705,-0.43950466910272024,100,96,1048,624,0,3254,77.68
109,,-0.4078407224958949,101,100,1027,473,0,3372,85.24
110,,-0.40283687943262414,101,89,856,577,0,2797,75.58
111,,-0.3664886515353805,100,83,609,380,0,2007,71.9
112,0.2656770646572113,-0.4103753690425981,100,98,1072,515,0,3155,94.68
113,,-0.38710512687726567,105,95,815,610,0,2437,69.16
114,,-0.4176015473887814,103,103,1111,570,0,3489,83.68
115,,-0.39176090468497576,100,86,753,546,0,2415,69.6
116,0.25903642177581787,-0.3888367729831144,102,89,848,672,0,2744,81.05
117,,-0.3928016571724495,101,90,825,693,0,2344,78.37
118,,-0.40147282884713054,100,88,876,537,0,2525,71.83
119,,-0.41294838145231844,100,92,929,584,0,3059,81.04
120,0.2607291340827942,-0.4101736972704715,100,96,886,368,0,2776,74.33
121,,-0.406463359126081,103,91,938,737,0,2719,81.76
122,,-0.37990455991516436,101,76,841,754,0,2177,72.32
123,,-0.42964269960299956,101,89,1010,401,0,3123,88.12
124,0.2559114396572113,-0.4004028648164727,101,89,946,515,0,3007,78.21
125,,-0.40343627664201825,101,88,968,679,0,2951,79.48
126,,-0.37095790115924343,101,81,722,473,0,2083,66.21
127,,-0.4001937984496124,104,91,870,678,0,2580,83.31
128,0.24106767773628235,-0.39930034982508744,103,96,816,591,0,2595,79.67
129,,-0.4084934277047523,102,86,846,452,0,2658,73.5
130,,-0.3898186889818689,108,90,845,744,0,2713,74.11
131,,-0.38544336237826754,100,85,827,723,0,2352,73.4
132,0.25539058446884155,-0.3856157112526539,100,82,756,700,0,2312,78.51
133,,-0.4195323246217332,108,97,900,480,0,2982,89.46
134,,-0.39181426519865964,103,98,900,598,0,2680,72.9
135,,-0.40550828481862966,103,87,978,558,0,2930,79.87
136,0.2656770646572113,-0.4178441663302382,101,99,1017,602,0,3335,82.11
137,,-0.42899953895804516,101,101,984,398,0,2956,89.84
138,,-0.3913612565445026,101,87,820,476,0,2524,78.25
139,,-0.40494458653026427,100,100,1006,575,0,3111,81.96
140,0.25382810831069946,-0.41738035264483625,100,87,774,551,0,2645,73.59
141,,-0.3945620589456206,100,99,942,834,0,3042,83.29
142,,-0.4018166089965398,100,93,935,592,0,3097,85.03
143,,-0.4131265930331351,100,97,1030,460,0,3218,92.53
144,0.27518224716186523,-0.40031055900621115,101,87,678,328,0,2214,65.49
145,,-0.387216059165346,100,84,751,700,0,2335,70.72
146,,-0.38077461502566495,101,93,911,596,0,2779,77.78
147,,-0.42400332225913623,101,93,1117,684,0,3015,92.23
148,0.27101558446884155,-0.40717703349282297,100,92,872,516,0,2792,83.17
149,,-0.4173277661795407,102,96,1055,402,0,3333,85.65
150,,-0.40058823529411763,103,87,729,573,0,2098,65.64
151,,-0.40278521692554903,100,94,809,396,0,2529,75.09
152,0.28338539600372314,-0.39194554736245035,100,87,726,467,0,2333,77.72
153,,-0.42365145228215767,101,96,990,472,0,3358,97.21
154,,-0.3862885462555066,100,84,772,773,0,2087,68.87
155,,-0.3983333333333333,101,90,819,589,0,2792,79.04
156,0.24588538706302643,-0.41026998411858123,101,91,815,629,0,2334,70.64
157,,-0.42686512311650127,102,102,1187,484,0,3771,102.04
158,,-0.39558472553699287,100,95,702,479,0,2171,73.3
159,,-0.3960443801254221,102,84,882,695,0,2569,73.38
160,0.26906245946884155,-0.3645077720207254,100,85,804,743,0,2313,72.51
161,,-0.40331491712707185,101,93,792,511,0,2317,70.11
162,,-0.39137296159915835,100,88,758,661,0,2383,82.78
163,,-0.42066420664206644,100,99,1113,380,0,3385,94.86
164,0.24523434042930603,-0.38480801335559267,104,87,716,689,0,2189,72.55
165,,-0.4170141784820684,101,92,1063,434,0,3299,85.6
166,,-0.413622690159003,100,91,1026,454,0,3174,84.99
167,,-0.39412897016361886,101,90,884,554,0,2718,82.82
168,0.25643226504325867,-0.388421573478476,101,74,847,775,0,2420,79.02
169,,-0.3806609547123623,100,83,706,717,0,1845,65.73
170,,-0.4092752154080081,102,92,886,563,0,2497,73.49
171,,-0.418701171875,101,85,818,566,0,2712,77.02
172,0.26450517773628235,-0.41384248210023866,103,97,897,547,0,2746,86.51
173,,-0.38939232409381663,100,89,818,625,0,2309,79.36
174,,-0.4158415841584158,103,93,948,503,0,2993,79.53
175,,-0.407731247123792,100,99,1017,473,0,2856,78.43
176,0.2626822590827942,-0.3898809523809524,100,88,842,645,0,2545,72.5
177,,-0.3914417001723148,100,93,727,671,0,2084,81.27
178,,-0.40350877192982454,102,93,889,666,0,2891,83.52
179,,-0.40619389587073607,101,99,949,496,0,3011,84.26
180,0.25109371542930603,-0.3937298294144767,100,97,916,691,0,2731,77.08
181,,-0.4219982471516214,104,99,1078,539,0,2947,82.24
182,,-0.34864864864864864,102,82,750,689,0,1891,73.37
183,,-0.3979539641943734,101,99,829,448,0,2633,75.21
184,0.24731768667697906,-0.3780409731113957,100,85,691,549,0,1884,66.91
185,,-0.40032679738562094,100,86,811,746,0,2727,72.41
186,,-0.39663699307616224,100,91,871,702,0,2471,69.81
187,,-0.39072847682119205,106,95,925,777,0,2828,75.61
188,0.24731768667697906,-0.3801961700140121,102,87,911,583,0,2788,73.12
189,,-0.402073732718894,104,99,887,467,0,2986,92.56
190,,-0.4099722991689751,100,89,890,674,0,2768,77.14
191,,-0.41124661246612465,100,87,979,386,0,3063,83.12
192,0.267890602350235,-0.41767460007803353,100,100,1165,447,0,3514,85.51
193,,-0.4004694835680751,105,90,954,511,0,2795,77.82
194,,-0.40819348469891414,100,86,809,659,0,2584,84.74
195,,-0.39572471324296143,100,80,915,800,0,2121,67.29
196,0.2728385031223297,-0.40037950664136623,100,85,859,750,0,2607,75.43
197,,-0.4019073569482289,101,102,961,460,0,2983,81.72
198,,-0.4222774514234071,101,91,1011,421,0,2994,79.12
199,,-0.4105504587155963,101,92,1013,505,0,2842,92.16
200,0.2607291340827942,-0.41478129713423834,100,89,830,735,0,2413,71.32
201,,-0.4017738359201774,101,90,867,818,0,2825,79.99
202,,-0.42139347923179993,100,97,942,575,0,2961,79.16
203,,-0.39329131022062136,101,83,973,562,0,2907,81.02
204,0.2633333206176758,-0.4150776053215078,100,92,962,612,0,2936,88.83
205,,-0.395621996796583,101,88,777,597,0,2372,69.96
206,,-0.4193960017014037,102,92,1085,438,0,3179,83.38
207,,-0.3963155408597071,104,94,944,487,0,2803,79.99
208,0.25643226504325867,-0.4060167910447761,102,93,878,570,0,2840,76.33
209,,-0.40978593272171254,105,99,815,595,0,2514,85.62
210,,-0.414956590370955,102,97,1080,550,0,3438,84.62
211,,-0.41735336888027147,101,89,826,686,0,2614,72.81
212,0.25083330273628235,-0.4077409931840312,100,98,838,642,0,2628,75.37
213,,-0.4093462717058223,100,92,809,521,0,2586,74.85
214,,-0.40130208333333334,100,87,847,705,0,2288,83.68
215,,-0.41910004786979416,100,96,895,523,0,2760,76.5
216,0.27596351504325867,-0.40313199105145414,102,99,886,669,0,2915,84.05
217,,-0.3980128579777908,101,94,703,424,0,2295,72.16
218,,-0.3963034085453673,101,84,843,700,0,2623,72.98
219,,-0.4115466101694915,101,82,789,540,0,2447,73.53
220,0.25903642177581787,-0.40013679890560877,102,93,895,637,0,2854,83.02
221,,-0.41421143847487,102,85,972,535,0,3109,81.29
222,,-0.37436708860759493,100,77,648,554,0,1958,65.51
223,,-0.4050162563864375,100,80,881,869,0,2556,74.07
224,0.25447914004325867,-0.3940809968847352,100,87,820,546,0,2486,73.76
225,,-0.40426695842450766,101,88,715,645,0,2296,83.55
226,,-0.3876433785192909,101,84,819,851,0,2166,69.17
227,,-0.3823397579560735,100,87,870,864,0,2728,76.72
228,0.2661978602409363,-0.39865537848605576,100,88,779,632,0,2605,74.58
229,,-0.4164851125635439,102,101,1215,676,0,3617,91.88
230,,-0.41030975496994915,101,92,894,646,0,2786,85.89
231,,-0.4095215537659877,101,91,977,535,0,2710,76.22
232,0.2773957848548889,-0.4164614121510673,103,104,1055,507,0,3310,83.9
233,,-0.39775280898876403,101,89,746,632,0,2182,71.57
234,,-0.39148494288681207,100,93,776,595,0,2481,70.53
235,,-0.39446284902981543,102,91,861,558,0,2807,88.72
236,0.25994789600372314,-0.39330143540669854,102,91,854,635,0,2691,73.37
237,,-0.3969682614874467,100,96,935,467,0,2820,80.41
238,,-0.40554465161923453,100,89,811,546,0,2719,75.56
239,,-0.3974558670820353,100,88,813,827,0,2212,72.5
240,0.2582551836967468,-0.4041519434628975,102,98,998,494,0,3036,86.94
241,,-0.40602284527518173,101,90,787,574,0,2491,72.57
242,,-0.4046069103655483,100,88,801,695,0,2498,72.75
243,,-0.4064625850340136,103,95,833,752,0,2531,72.32
244,0.2516145408153534,-0.3845573440643863,101,93,802,465,0,2709,76.88
245,,-0.42713903743315507,103,95,970,512,0,3006,87.76
246,,-0.39086174242424243,103,92,878,713,0,2633,80.87
247,,-0.41408518877057116,100,95,944,431,0,2757,78.66
248,0.2539583146572113,-0.41617021276595745,102,97,985,639,0,3076,82.26
249,,-0.37341463414634146,100,73,797,788,0,2515,71.28
250,,-0.40586189766517633,100,87,812,618,0,2596,78.24
251,,-0.397212543554007,100,91,829,712,0,2477,80.16
252,0.2559114098548889,-0.431443891229414,100,91,1161,451,0,3610,90.7
253,,-0.40340632603406323,101,100,879,539,0,2692,81.58
254,,-0.37039917055469157,100,84,807,653,0,2398,74.09
255,,-0.4106763079540621,101,99,1057,611,0,3034,89.8
256,0.25447914004325867,-0.4127367996775494,100,98,1081,616,0,3265,88.18
257,,-0.3806081754735793,100,92,869,718,0,2425,73.97
258,,-0.41761252446183955,103,98,1107,652,0,3351,88.48
259,,-0.41983206717313076,100,94,1033,708,0,3261,83.37
260,0.2611197829246521,-0.3702127659574468,103,91,827,726,0,2677,83.24
261,,-0.3977035490605428,102,92,822,472,0,2538,77.88
262,,-0.4038543897216274,100,85,918,866,0,2886,79.67
263,,-0.43854415274463004,100,94,1126,459,0,3443,90.55
264,0.2750520408153534,-0.4106840022611645,109,102,754,465,0,2319,70.35
265,,-0.412559965111208,100,91,953,706,0,2927,87.58
266,,-0.3905742145178765,100,96,804,348,0,2540,75.73
267,,-0.3909981628903858,104,89,688,637,0,1941,66.02
268,0.26385414600372314,-0.37800875273522977,100,95,764,722,0,2170,73.72
269,,-0.38619854721549635,101,86,783,578,0,2769,74.27
270,,-0.38511932615816563,102,97,957,546,0,2771,75.69
271,,-0.3831417624521073,100,90,784,753,0,2117,81.49
272,0.25252601504325867,-0.38615618661257606,101,89,801,672,0,2471,69.71
273,,-0.42268984446477587,104,102,979,423,0,2970,82.66
274,,-0.39861970490242743,101,95,886,521,0,2795,75.45
275,,-0.3743078626799557,102,84,782,618,0,2212,71.88
276,0.2585155963897705,-0.3830698287220026,103,85,645,602,0,1789,72.91
277,,-0.41531322505800466,101,88,888,705,0,2717,75.49
278,,-0.4114399293286219,100,91,908,603,0,3017,81.03
279,,-0.418583424607521,100,98,1165,585,0,3728,94.15
280,0.2549999952316284,-0.41593761886648917,101,91,1116,491,0,3651,90.33
281,,-0.4172396856581532,100,84,878,647,0,2547,91.34
282,,-0.42609853528628494,100,92,939,506,0,3061,81.76
283,,-0.39932697700504766,103,87,733,496,0,2337,70.48
284,0.27453121542930603,-0.39887892376681616,109,101,960,898,0,2602,78.13
285,,-0.41306058221872544,102,101,1050,546,0,3488,91.76
286,,-0.3984243106359032,100,82,717,477,0,2360,79.57
287,,-0.4156064461407973,101,93,963,830,0,2923,79.54
288,0.27713537216186523,-0.4164882226980728,100,92,992,448,0,3230,84.95
289,,-0.40343853038153554,100,91,931,648,0,2667,76.92
290,,-0.41226158038147137,101,91,707,697,0,2266,70.1
291,,-0.38810365135453473,100,79,698,504,0,2194,80.08
292,0.25708329677581787,-0.4067357512953368,100,91,945,832,0,2855,75.79
293,,-0.4020926756352765,103,85,855,520,0,2639,78.0
294,,-0.4047085201793722,100,100,1090,633,0,3629,91.74
295,,-0.40304449648711943,100,99,977,591,0,2702,79.62
296,0.2656770348548889,-0.41922900413033504,100,95,976,482,0,2900,95.79
297,,-0.4167032003507234,105,96,995,446,0,3121,82.04
298,,-0.4114741641337386,100,101,1181,604,0,3479,87.11
299,,-0.40787554691298006,101,91,837,507,0,2770,79.3
300,0.25447914004325867,-0.3975876194811106,102,83,914,836,0,2644,72.21
301,,-0.42235576923076923,100,89,901,455,0,2804,86.5
302,,-0.38147208121827414,101,86,857,568,0,2515,73.07
303,,-0.4025974025974026,100,88,757,780,0,2159,69.51
304,0.2621614336967468,-0.3682522715125601,101,87,772,685,0,2285,69.58
305,,-0.4004739336492891,100,93,846,542,0,2410,70.38
306,,-0.4001905669366365,101,97,937,814,0,2447,76.56
307,,-0.39415876185721416,102,87,838,736,0,2432,72.67
308,0.27453121542930603,-0.41605241605241605,101,97,995,674,0,3215,79.03
309,,-0.39071938495332237,101,91,781,636,0,2225,67.14
310,,-0.4015184381778742,103,94,924,656,0,3030,76.91
311,,-0.3866739486619334,104,84,747,435,0,2480,71.5
312,0.250312477350235,-0.4180624717066546,102,97,899,854,0,2665,80.99
313,,-0.4004938271604938,100,92,816,596,0,2638,71.34
314,,-0.40289648622981955,105,96,831,699,0,2682,71.76
315,,-0.3977176669484362,100,96,985,727,0,3020,77.07
316,0.26385414600372314,-0.40239043824701193,102,91,823,589,0,2604,71.58
317,,-0.4037336932073774,100,90,942,692,0,2812,90.6
318,,-0.40829694323144106,101,91,815,572,0,2735,70.91
319,,-0.3816621499548329,100,96,934,725,0,2769,74.19
320,0.27557289600372314,-0.40875613747954176,101,96,1050,461,0,3377,94.72
321,,-0.4109351806036616,102,89,862,519,0,2661,75.33
322,,-0.3920177383592018,102,89,997,956,0,2557,92.07
323,,-0.4187529522909778,101,91,897,643,0,2694,76.06
324,0.2730989158153534,-0.4044916090819348,107,94,794,664,0,2594,76.49
325,,-0.40122470713525027,100,87,787,531,0,2438,72.92
326,,-0.4108292313517607,103,99,1108,683,0,3491,87.9
327,,-0.4038947900859889,100,90,881,452,0,2621,92.19
328,0.2767447829246521,-0.4050338409475465,100,88,1028,640,0,3060,82.16
329,,-0.39818491208167894,104,91,766,522,0,2238,72.05
330,,-0.3875288683602771,101,99,970,702,0,2658,79.57
331,,-0.4252736792003808,102,87,921,619,0,2662,77.74
332,0.26450514793395996,-0.3930769230769231,103,87,807,517,0,2576,85.37
333,,-0.40753796095444683,100,94,772,386,0,2530,72.65
